Year,Category,Total,"Food-secure households-1,000",Food-secure households-percent,"Food-insecure households-1,000",Food-insecure households-percent," Households with food-insecure children-1,000 ",Households with food-insecure children-percent," Households with very low food security among children-1,000 ",Households with very low food security among children-percent
1998,Children - by food security status of household,71282,57255,80.3,14027,19.7,7840,11.0,716,1.0
1998,Households with Children,38036,31335,82.4,6701,17.6,3627,9.5,331,0.9
1999,Children - by food security status of household,71418,59344,83.1,12074,16.9,6996,9.8,511,0.7
1999,Households with Children,37884,32290,85.2,5594,14.8,3089,8.2,219,0.6
2000,Children - by food security status of household,71763,58867,82.0,12896,18.0,7018,9.8,562,0.8
2000,Households with Children,38113,31942,83.8,6171,16.2,3282,8.6,255,0.7
2001,Children - by food security status of household,72321,59620,82.4,12701,17.6,6866,9.5,467,0.6
2001,Households with Children,38330,32141,83.9,6189,16.1,3225,8.4,211,0.6
2002,Children - by food security status of household,72542,59415,81.9,13127,18.1,7397,10.2,567,0.8
2002,Households with Children,38647,32267,83.5,6380,16.5,3456,8.9,265,0.7
2003,Children - by food security status of household,72969,59704,81.8,13265,18.2,7388,10.1,420,0.6
2003,Households with Children,40286,33575,83.3,6711,16.7,3606,9.0,207,0.5
2004,Children - by food security status of household,73039,59171,81.0,13868,19.0,7823,10.7,545,0.7
2004,Households with Children,39990,32967,82.4,7023,17.6,3808,9.5,274,0.7
2005,Children - by food security status of household,73604,61201,83.1,12403,16.9,6718,9.1,606,0.8
2005,Households with Children,39601,33404,84.4,6197,15.6,3244,8.2,270,0.7
2006,Children - by food security status of household,73587,60959,82.8,12628,17.2,7065,9.6,430,0.6
2006,Households with Children,39436,33279,84.4,6157,15.6,3312,8.4,221,0.6
2007,Children - by food security status of household,73575,61140,83.1,12435,16.9,6766,9.2,691,0.9
2007,Households with Children,39390,33160,84.2,6230,15.8,3273,8.3,323,0.8
2008,Children - by food security status of household,74106,57433,77.5,16673,22.5,9098,12.3,1077,1.5
2008,Households with Children,39699,31364,79.0,8335,21.0,4361,11.0,506,1.3
2009,Children - by food security status of household,74207,57010,76.8,17197,23.2,8957,12.1,988,1.3
2009,Households with Children,39525,31114,78.7,8411,21.3,4208,10.6,469,1.2
2010,Children - by food security status of household,74905,58697,78.4,16208,21.6,8458,11.3,976,1.3
2010,Households with Children,39419,31447,79.8,7972,20.2,3861,9.8,386,1.0
2011,Children - by food security status of household,74508,57850,77.6,16658,22.4,8565,11.5,845,1.1
2011,Households with Children,38803,30814,79.4,7989,20.6,3862,10.0,374,1.0
2012,Children - by food security status of household,73631,57733,78.4,15898,21.6,8290,11.3,977,1.3
2012,Households with Children,39201,31354,80.0,7847,20.0,3910,10.0,463,1.2
2013,Children - by food security status of household,73634,57862,78.6,15772,21.4,8585,11.7,765,1.0
2013,Households with Children,38486,30978,80.5,7508,19.5,3814,9.9,360,0.9
2014,Children - by food security status of household,73368,58045,79.1,15323,20.9,7949,10.8,914,1.2
2014,Households with Children,39079,31590,80.8,7489,19.2,3665,9.4,422,1.1
2015,Children - by food security status of household,73455,60337,82.1,13118,17.9,6377,8.7,541,0.7
2015,Households with Children,38978,32519,83.4,6459,16.6,3022,7.8,274,0.7
2016,Children - by food security status of household,73829,60891,82.5,12938,17.5,6519,8.8,703,1.0
2016,Households with Children,38400,32058,83.5,6342,16.5,3069,8.0,298,0.8
2017,Children - by food security status of household,73901,61361,83.0,12540,17.0,6541,8.9,540,0.7
2017,Households with Children,37942,31975,84.3,5967,15.7,2926,7.7,250,0.7
2018,Children - by food security status of household,73562,62388,84.8,11174,15.2,5999,8.2,540,0.7
2018,Households with Children,37612,32369,86.1,5243,13.9,2658,7.1,220,0.6
2019,Children - by food security status of household,73279,62547,85.4,10732,14.6,5332,7.3,361,0.5
2019,Households with Children,37614,32480,86.4,5134,13.6,2434,6.5,213,0.6
2020,Children - by food security status of household,72837,61115,83.9,11722,16.1,6142,8.4,584,0.8
2020,Households with Children,37903,32280,85.2,5623,14.8,2870,7.6,322,0.8
2021,Children - by food security status of household,72416,63154,87.2,9262,12.8,4959,6.8,521,0.7
2021,Households with Children,36765,32170,87.5,4595,12.5,2290,6.2,274,0.7
2022,Children - by food security status of household,72595,59201,81.5,13394,18.5,7263,10.0,783,1.1
2022,Households with Children,37235,30798,82.7,6437,17.3,3265,8.8,381,1.0
2023,Children - by food security status of household,72203,58374,80.8,13829,19.2,7162,9.9,841,1.2
2023,Households with Children,36216,29726,82.1,6490,17.9,3227,8.9,374,1.0
